
time;ax;ay;az;wx;wy;wz;
1.3520;-4.6505;-6.3219;-7.5244;-0.5410;-2.2863;1.7453;
1.3550;-4.6505;-6.3219;-7.5244;-0.5410;-2.2863;1.7453;
1.3550;-4.6505;-6.3219;-7.5244;-0.6458;-1.5533;1.8151;
1.3560;-1.8151;-4.1779;-7.5058;-0.6458;-1.5533;1.8151;
1.4180;-1.8151;-4.1779;-7.5058;-0.6458;-1.5533;1.8151;
1.4210;-1.8151;-4.1779;-7.5058;-0.6458;-1.5533;1.8151;
1.4210;-1.8151;-4.1779;-7.5058;-0.7330;-0.5585;0.6283;
1.4220;-2.0534;-3.7344;-6.3970;-0.7330;-0.5585;0.6283;
1.4840;-2.0534;-3.7344;-6.3970;-0.7330;-0.5585;0.6283;
1.4870;-2.0534;-3.7344;-6.3970;-0.7330;-0.5585;0.6283;
1.4870;-2.0534;-3.7344;-6.3970;-0.8901;0.1571;-0.6108;
1.4880;-3.3170;-2.3044;-5.3890;-0.8901;0.1571;-0.6108;
1.5500;-3.3170;-2.3044;-5.3890;-0.8901;0.1571;-0.6108;
1.5530;-3.3170;-2.3044;-5.3890;-0.8901;0.1571;-0.6108;
1.5530;-3.3170;-2.3044;-5.3890;-0.9599;0.6283;-1.7627;
1.5540;-2.7810;-6.8746;-6.3200;-0.9599;0.6283;-1.7627;
1.6160;-2.7810;-6.8746;-6.3200;-0.9599;0.6283;-1.7627;
1.6190;-2.7810;-6.8746;-6.3200;-0.9599;0.6283;-1.7627;
1.6190;-2.7810;-6.8746;-6.3200;-0.9250;0.4189;-1.7976;
1.6200;-0.3941;-3.3821;-3.7702;-0.9250;0.4189;-1.7976;
1.6820;-0.3941;-3.3821;-3.7702;-0.9250;0.4189;-1.7976;
1.6850;-0.3941;-3.3821;-3.7702;-0.9250;0.4189;-1.7976;
1.6850;-0.3941;-3.3821;-3.7702;-0.8028;0.0698;-1.4486;
1.6860;-0.4571;-1.2037;-3.0823;-0.8028;0.0698;-1.4486;
1.7480;-0.4571;-1.2037;-3.0823;-0.8028;0.0698;-1.4486;
1.7510;-0.4571;-1.2037;-3.0823;-0.8028;0.0698;-1.4486;
1.7510;-0.4571;-1.2037;-3.0823;-0.6806;-0.2094;-1.1868;
1.7520;-3.4962;-6.9265;-1.7336;-0.6806;-0.2094;-1.1868;
1.8150;-3.4962;-6.9265;-1.7336;-0.6806;-0.2094;-1.1868;
1.8170;-3.4962;-6.9265;-1.7336;-0.6806;-0.2094;-1.1868;
1.8170;-3.4962;-6.9265;-1.7336;-0.3840;-0.4014;-0.7854;
1.8180;-4.2367;-1.3354;4.3514;-0.3840;-0.4014;-0.7854;
1.8800;-4.2367;-1.3354;4.3514;-0.3840;-0.4014;-0.7854;
1.8830;-4.2367;-1.3354;4.3514;-0.3840;-0.4014;-0.7854;
1.8830;-4.2367;-1.3354;4.3514;-0.0872;-0.4363;-0.4538;
1.8840;-0.1577;-3.6507;0.5639;-0.0872;-0.4363;-0.4538;
1.9470;-0.1577;-3.6507;0.5639;-0.0872;-0.4363;-0.4538;
1.9530;-0.1577;-3.6507;0.5639;-0.0872;-0.4363;-0.4538;
1.9540;-0.1577;-3.6507;0.5639;0.2269;-0.6108;-0.3316;
1.9550;1.0433;0.3300;2.6986;0.2269;-0.6108;-0.3316;
2.0130;1.0433;0.3300;2.6986;0.2269;-0.6108;-0.3316;
2.0150;1.0433;0.3300;2.6986;0.2269;-0.6108;-0.3316;
2.0160;1.0433;0.3300;2.6986;0.5934;-0.9250;-0.3665;
2.0170;-2.5639;-1.6812;1.5737;0.5934;-0.9250;-0.3665;
2.0790;-2.5639;-1.6812;1.5737;0.5934;-0.9250;-0.3665;
2.0810;-2.5639;-1.6812;1.5737;0.5934;-0.9250;-0.3665;
2.0830;-2.5639;-1.6812;1.5737;0.9948;-1.0995;-0.3490;
2.0840;1.8212;0.6149;1.9606;0.9948;-1.0995;-0.3490;
2.1450;1.8212;0.6149;1.9606;0.9948;-1.0995;-0.3490;
2.1470;1.8212;0.6149;1.9606;0.9948;-1.0995;-0.3490;
2.1480;1.8212;0.6149;1.9606;1.1344;-0.8028;-0.0698;
2.1490;-2.1169;-0.5767;2.8737;1.1344;-0.8028;-0.0698;
2.2110;-2.1169;-0.5767;2.8737;1.1344;-0.8028;-0.0698;
2.2130;-2.1169;-0.5767;2.8737;1.1344;-0.8028;-0.0698;
2.2160;-2.1169;-0.5767;2.8737;1.1170;-0.2967;0.2443;
2.2170;-0.0854;-1.8608;2.4328;1.1170;-0.2967;0.2443;
2.2760;-0.0854;-1.8608;2.4328;1.1170;-0.2967;0.2443;
2.2840;-0.0854;-1.8608;2.4328;1.1170;-0.2967;0.2443;
2.2850;-0.0854;-1.8608;2.4328;0.9948;0.0872;0.4014;
2.2860;3.6492;-0.9900;3.2549;0.9948;0.0872;0.4014;
2.3440;3.6492;-0.9900;3.2549;0.9948;0.0872;0.4014;
2.3440;3.6492;-0.9900;3.2549;0.9948;0.0872;0.4014;
2.3450;3.6492;-0.9900;3.2549;0.7505;0.1920;0.4014;
2.3460;5.8127;-2.0798;3.6927;0.7505;0.1920;0.4014;
2.4080;5.8127;-2.0798;3.6927;0.7505;0.1920;0.4014;
2.4100;5.8127;-2.0798;3.6927;0.7505;0.1920;0.4014;
2.4110;5.8127;-2.0798;3.6927;-0.1222;0.1571;2.8273;
2.4120;1.1162;-0.9783;2.2692;-0.1222;0.1571;2.8273;
2.4740;1.1162;-0.9783;2.2692;-0.1222;0.1571;2.8273;
2.4770;1.1162;-0.9783;2.2692;-0.1222;0.1571;2.8273;
2.4770;1.1162;-0.9783;2.2692;-0.1396;-0.1920;2.7401;
2.4780;-3.1355;-3.1452;2.1422;-0.1396;-0.1920;2.7401;
2.5400;-3.1355;-3.1452;2.1422;-0.1396;-0.1920;2.7401;
2.5450;-3.1355;-3.1452;2.1422;-0.1396;-0.1920;2.7401;
2.5460;-3.1355;-3.1452;2.1422;-0.1222;-0.6632;2.4434;
2.5460;-1.1983;-2.9359;3.2783;-0.1222;-0.6632;2.4434;
2.6060;-1.1983;-2.9359;3.2783;-0.1222;-0.6632;2.4434;
2.6090;-1.1983;-2.9359;3.2783;-0.1222;-0.6632;2.4434;
2.6090;-1.1983;-2.9359;3.2783;0.3141;-0.6632;-0.2443;
2.6100;3.9164;0.7494;0.4407;0.3141;-0.6632;-0.2443;
2.6720;3.9164;0.7494;0.4407;0.3141;-0.6632;-0.2443;
2.6770;3.9164;0.7494;0.4407;0.3141;-0.6632;-0.2443;
2.6780;3.9164;0.7494;0.4407;0.1396;0.0174;-0.1396;
2.6790;0.5968;5.7104;-0.3244;0.1396;0.0174;-0.1396;
2.7380;0.5968;5.7104;-0.3244;0.1396;0.0174;-0.1396;
2.7410;0.5968;5.7104;-0.3244;0.1396;0.0174;-0.1396;
2.7410;0.5968;5.7104;-0.3244;-0.3141;0.9773;0.1396;
2.7420;-4.1100;6.5825;-0.4957;-0.3141;0.9773;0.1396;
2.8060;-4.1100;6.5825;-0.4957;-0.3141;0.9773;0.1396;
2.8070;-4.1100;6.5825;-0.4957;-0.3141;0.9773;0.1396;
2.8070;-4.1100;6.5825;-0.4957;-0.7505;1.7976;0.2269;
2.8080;0.0556;-1.7827;-5.7007;-0.7505;1.7976;0.2269;
2.8700;0.0556;-1.7827;-5.7007;-0.7505;1.7976;0.2269;
2.8730;0.0556;-1.7827;-5.7007;-0.7505;1.7976;0.2269;
2.8730;0.0556;-1.7827;-5.7007;-0.8203;1.8151;0.0698;
2.8740;4.8517;-0.4977;-4.7348;-0.8203;1.8151;0.0698;
2.9370;4.8517;-0.4977;-4.7348;-0.8203;1.8151;0.0698;
2.9390;4.8517;-0.4977;-4.7348;-0.8203;1.8151;0.0698;
2.9400;4.8517;-0.4977;-4.7348;0.1222;1.3089;-1.8151;
2.9410;4.9789;1.8788;-3.9404;0.1222;1.3089;-1.8151;
3.0030;4.9789;1.8788;-3.9404;0.1222;1.3089;-1.8151;
3.0050;4.9789;1.8788;-3.9404;0.1222;1.3089;-1.8151;
3.0050;4.9789;1.8788;-3.9404;0.5585;0.8552;-2.7226;
3.0060;-3.1999;-0.2557;0.8636;0.5585;0.8552;-2.7226;
3.0710;-3.1999;-0.2557;0.8636;0.5585;0.8552;-2.7226;
3.0720;-3.1999;-0.2557;0.8636;0.5585;0.8552;-2.7226;
3.0730;-3.1999;-0.2557;0.8636;0.4712;0.7854;-2.4434;
3.0740;-6.2601;2.3342;2.3320;0.4712;0.7854;-2.4434;
3.1350;-6.2601;2.3342;2.3320;0.4712;0.7854;-2.4434;
3.1370;-6.2601;2.3342;2.3320;0.4712;0.7854;-2.4434;
3.1380;-6.2601;2.3342;2.3320;-0.4538;0.7854;-0.3840;
3.1390;-3.3322;-1.7986;2.8453;-0.4538;0.7854;-0.3840;
