
time;ax;ay;az;wx;wy;wz;
1.0760;2.3179;0.8977;-0.1927;0.0524;-0.1571;0.7156;
1.0760;2.3179;0.8977;-0.1927;0.0524;-0.1571;0.7679;
1.0770;1.6703;1.1112;0.6381;0.0524;-0.1571;0.7679;
4.0240;1.6703;1.1112;0.6381;0.0524;-0.1571;0.7679;
4.0240;1.6703;1.1112;0.6381;0.0872;-0.1222;0.6108;
4.0250;-0.2426;-1.9971;0.4760;0.0872;-0.1222;0.6108;
4.0530;-0.2426;-1.9971;0.4760;0.0872;-0.1222;0.6108;
4.0890;-0.2426;-1.9971;0.4760;0.0872;-0.1222;0.6108;
4.0900;-0.2426;-1.9971;0.4760;0.0349;-0.0698;0.6108;
4.0910;-0.6064;-2.1515;1.2659;0.0349;-0.0698;0.6108;
4.1570;-0.6064;-2.1515;1.2659;0.0349;-0.0698;0.6108;
4.1570;-0.6064;-2.1515;1.2659;-0.1396;-0.0174;0.5410;
4.1580;-0.5431;-2.1794;0.2828;-0.1396;-0.0174;0.5410;
4.1730;-0.5431;-2.1794;0.2828;-0.1396;-0.0174;0.5410;
4.2210;-0.5431;-2.1794;0.2828;-0.1396;-0.0174;0.5410;
4.2220;-0.5431;-2.1794;0.2828;-0.4014;0.0174;0.3141;
4.2240;-0.1994;-0.8493;-3.9277;-0.4014;0.0174;0.3141;
4.2870;-0.1994;-0.8493;-3.9277;-0.4014;0.0174;0.3141;
4.2880;-0.1994;-0.8493;-3.9277;-0.7156;0.0698;-0.4014;
4.2880;-0.6662;-1.6025;1.4941;-0.7156;0.0698;-0.4014;
4.2920;-0.6662;-1.6025;1.4941;-0.7156;0.0698;-0.4014;
4.3510;-0.6662;-1.6025;1.4941;-0.7156;0.0698;-0.4014;
4.3540;-0.6662;-1.6025;1.4941;-0.7156;0.0698;-0.4014;
4.3550;-0.6662;-1.6025;1.4941;-0.8901;0.0872;-1.3962;
4.3550;-2.4657;-1.4470;-0.7590;-0.8901;0.0872;-1.3962;
4.4170;-2.4657;-1.4470;-0.7590;-0.8901;0.0872;-1.3962;
4.4190;-2.4657;-1.4470;-0.7590;-0.8901;0.0872;-1.3962;
4.4190;-2.4657;-1.4470;-0.7590;-0.8552;0.0872;-1.8500;
4.4200;-2.5879;0.1248;0.7589;-0.8552;0.0872;-1.8500;
4.4720;-2.5879;0.1248;0.7589;-0.8552;0.0872;-1.8500;
4.4830;-2.5879;0.1248;0.7589;-0.8552;0.0872;-1.8500;
4.4850;-2.5879;0.1248;0.7589;-0.8552;0.0872;-1.8500;
4.4860;-2.5879;0.1248;0.7589;-0.6806;0.1222;-2.0769;
4.4860;-3.1489;0.5540;-0.9154;-0.6806;0.1222;-2.0769;
4.5480;-3.1489;0.5540;-0.9154;-0.6806;0.1222;-2.0769;
4.5510;-3.1489;0.5540;-0.9154;-0.6806;0.1222;-2.0769;
4.5510;-3.1489;0.5540;-0.9154;-0.3665;0.2967;-2.0594;
4.5520;-1.5054;0.3807;0.7643;-0.3665;0.2967;-2.0594;
4.5930;-1.5054;0.3807;0.7643;-0.3665;0.2967;-2.0594;
4.6140;-1.5054;0.3807;0.7643;-0.3665;0.2967;-2.0594;
4.6170;-1.5054;0.3807;0.7643;-0.3665;0.2967;-2.0594;
4.6170;-1.5054;0.3807;0.7643;-0.0872;0.4887;-1.6755;
4.6180;-0.9225;-0.2165;-0.3838;-0.0872;0.4887;-1.6755;
